V1,location_name,location_id,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,deaths_mean,deaths_lower,deaths_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,totdea_mean,totdea_lower,totdea_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,deaths,cases
28725,Washington,570,4/14/20,644.6807739,622.225,667.1851974,198.7299655,193.6026316,203.9661184,174.6034835,170.38,179.0795833,25,25,25,42.19988809,36.48118421,48.72791667,14.50638429,13.22282895,15.79480263,551,551,551,0,0,0,0,0,0,10694,552
28726,Washington,570,4/15/20,681.4381641,657.1716447,704.3244737,200.3090013,195.1701974,205.3737865,176.266849,171.9525658,180.5297149,16,16,16,123.6845731,112.4519079,134.8166447,34.51405176,33.14960526,35.95572368,567,567,567,0,0,0,0,0,0,10783,572
28727,Washington,570,4/16/20,683.5070237,660.1211842,708.15625,205.5821661,200.5421053,210.6451316,181.9950484,177.8604605,186.32375,17,17,17,104.6386596,95.13980263,115.2361842,28.10657849,26.94447368,29.40006579,584,584,584,0,0,0,0,0,0,11152,588
28728,Washington,570,4/17/20,666.9096769,643.1192105,691.3011184,191.291129,186.7139474,196.1727632,170.4187279,166.5550658,174.645,24,24,24,58.88801533,51.98552632,66.59078947,15.9470441,15.09723684,16.87921053,608,608,608,0,0,0,0,0,0,11445,610
28729,Washington,570,4/18/20,655.4198892,632.3524196,679.2175658,184.8060232,180.1155921,189.7086184,163.796242,159.8101974,167.7445175,16,16,16,75.39843457,67.83633772,83.29644737,25.56939958,24.04164474,27.19480263,624,624,624,0,0,0,0,0,0,11802,629
28730,Washington,570,4/19/20,626.4691119,604.1928289,648.6700658,184.4047676,179.5557237,189.0835526,163.480761,159.3207237,167.6028289,9,9,9,72.37142873,64.61756579,80.90848684,23.24318105,21.81837719,24.57907895,633,633,633,0,0,0,0,0,0,11805,637
28731,Washington,570,4/20/20,623.0564042,601.6931579,645.5510526,185.296496,180.4447368,190.0424342,165.4514543,161.3520395,169.3188158,27,27,27,65.2932387,57.66217105,74.13296053,18.07382022,17.08059211,19.16072368,660,660,660,0,0,0,0,0,0,12191,661
28732,Washington,570,4/21/20,603.4584777,581.7624781,625.9222368,164.9152224,160.3859211,169.4721053,146.2353309,142.38125,149.9298465,23,23,23,50.89299867,44.30197368,57.87559211,16.15218323,15.02881579,17.37901316,683,683,683,0,0,0,0,0,0,12345,683
28733,Washington,570,4/22/20,572.0049592,551.390636,593.2781579,162.9747935,158.3677632,167.5501974,143.7580362,139.8578947,147.5585088,13,13,13,87.7161604,79.45822368,96.72539474,23.96286648,22.82092105,25.21855263,696,696,696,0,0,0,0,0,0,12539,696
28734,Washington,570,4/23/20,559.3235708,538.3600658,580.9367105,169.2727881,164.6498026,173.8241667,149.7124574,145.8209211,153.5255921,17,17,17,82.35852675,74.17046053,91.72243421,22.52959641,21.41796053,23.75789474,713,713,713,0,0,0,0,0,0,12906,717
28735,Washington,570,4/24/20,537.4409158,489.4833553,666.9377778,159.797245,149.0236184,186.8718056,140.8499376,130.8042105,168.3504167,16,16,16,45.11363198,6.883684211,175.7343056,13.35697925,4.69625,40.94805556,729,729,729,0,0,0,0,0,0,13120,731
28736,Washington,570,4/25/20,500.1080937,417.7856579,747.1333333,151.1163172,133.1563158,204.4554167,132.6053132,115.1604605,186.1394444,14,14,14,41.44688606,4.626315789,163.7372222,15.03530041,6.832631579,40.99152778,743,743,743,0,0,0,0,0,0,13484,743
28737,Washington,570,4/26/20,469.3669507,356.1978289,820.5558333,145.8356476,121.1517763,221.9380556,127.1806929,102.9723026,204.4238889,11,11,11,37.57071463,0,144.7788889,13.83826235,6.268289474,38.32111111,754,754,754,0,0,0,0,0,0,13663,757
28738,Washington,570,4/27/20,442.5790497,299.3079605,895.4716667,139.848698,106.3407237,248.2013889,121.825819,89.08184211,228.3556944,19,19,19,34.20734311,0,137.5544444,10.51943471,0.659605263,41.50986111,773,773,773,0,0,0,0,0,0,13864,771
28739,Washington,570,4/28/20,412.2132262,239.7704605,955.2159722,122.9097848,80.20171053,260.6676389,106.1180752,65.00710526,239.4479167,18,18,18,30.8397183,0,127.7502778,9.575138472,0.314473684,37.88722222,791,791,791,0,0,0,0,0,0,14059,792
28740,Washington,570,4/29/20,351.6180809,149.5628289,986.64125,108.384505,57.36006579,271.7133333,92.25423794,43.71171053,249.1418056,9.837,2,38.025,27.7709429,0,110.8372222,8.581298727,0,33.57694444,800.837,793,829.025,0,0,0,0,0,0,14378,805
